,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV
,0,166,,0,220,,0,150,,0,192,,0,163,,0,196,,0,180,,0,121,,0,179,,0,168
,0.5,133,,0.5,150,,0.5,126,,0.5,142,,0.5,127,,0.5,120,,0.5,139,,0.5,107,,0.5,140,,0.5,136
,1,114,,1,130,,1,100,,1,130,,1,109,,1,110,,1,107,,1,88,,1,123,,1,102
,1.5,93,,1.5,109,,1.5,77,,1.5,106,,1.5,90,,1.5,88,,1.5,84,,1.5,76,,1.5,102,,1.5,86
,2,77,,2,83,,2,75,,2,93,,2,81,,2,75,,2,68,,2,61,,2,80,,2,76
,2.5,62,,2.5,68,,2.5,62,,2.5,79,,2.5,73,,2.5,66,,2.5,59,,2.5,53,,2.5,63,,2.5,66
,3,55,,3,59,,3,51,,3,69,,3,66,,3,58,,3,50,,3,51,,3,57,,3,59
,3.5,47,,3.5,51,,3.5,46,,3.5,62,,3.5,56,,3.5,52,,3.5,48,,3.5,46,,3.5,52,,3.5,50
,4,44,,4,44,,4,42,,4,56,,4,49,,4,47,,4,41,,4,44,,4,46,,4,46
,4.5,40,,4.5,40,,4.5,41,,4.5,53,,4.5,44,,4.5,44,,4.5,37,,4.5,38,,4.5,45,,4.5,42
,5,37,,5,36,,5,36,,5,46,,5,43,,5,39,,5,33,,5,38,,5,42,,5,38
,5.5,34,,5.5,33,,5.5,31,,5.5,43,,5.5,39,,5.5,37,,5.5,33,,5.5,34,,5.5,35,,5.5,38
,6,32,,6,33,,6,29,,6,39,,6,38,,6,36,,6,29,,6,34,,6,35,,6,35
,6.5,30,,6.5,29,,6.5,26,,6.5,38,,6.5,33,,6.5,33,,6.5,29,,6.5,27,,6.5,31,,6.5,33
,7,29,,7,25,,7,27,,7,34,,7,31,,7,32,,7,28,,7,30,,7,28,,7,35
,7.5,28,,7.5,26,,7.5,25,,7.5,36,,7.5,31,,7.5,30,,7.5,25,,7.5,25,,7.5,26,,7.5,36
,8,25,,8,23,,8,26,,8,33,,8,30,,8,30,,8,29,,8,25,,8,26,,8,32
,9,24,,9,25,,9,21,,9,30,,9,31,,9,27,,9,27,,9,23,,9,27,,9,34
,10,24,,10,20,,10,22,,10,24,,10,32,,10,26,,10,26,,10,22,,10,24,,10,34
,15,20,,15,15,,15,18,,15,16,,15,28,,15,21,,15,24,,15,18,,15,23,,15,29
,20,16,,20,12,,20,15,,20,14,,20,20,,20,19,,20,20,,20,17,,20,17,,20,24
,25,17,,25,13,,25,12,,25,12,,25,17,,25,17,,25,20,,25,18,,25,14,,25,16
,30,16,,30,19,,30,16,,30,9,,30,13,,30,21,,30,19,,30,18,,30,14,,30,14