cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV,,cm,mV
0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,
1,80,,1,83,,1,90,,1,86,,1,75,,1,82,,1,94,,1,99,,1,81,,1,76
1.5,72,,1.5,64,,1.5,70,,1.5,67,,1.5,64,,1.5,68,,1.5,70,,1.5,70,,1.5,69,,1.5,69
2,55,,2,55,,2,62,,2,58,,2,61,,2,56,,2,61,,2,61,,2,57,,2,54
2.5,49,,2.5,50,,2.5,56,,2.5,51,,2.5,52,,2.5,50,,2.5,52,,2.5,48,,2.5,52,,2.5,47
3,44,,3,45,,3,50,,3,47,,3,47,,3,48,,3,48,,3,45,,3,44,,3,44
3.5,39,,3.5,40,,3.5,45,,3.5,42,,3.5,44,,3.5,40,,3.5,44,,3.5,38,,3.5,43,,3.5,41
4,39,,4,37,,4,44,,4,41,,4,38,,4,38,,4,40,,4,35,,4,36,,4,37
4.5,35,,4.5,33,,4.5,40,,4.5,35,,4.5,35,,4.5,36,,4.5,37,,4.5,32,,4.5,35,,4.5,36
5,36,,5,32,,5,37,,5,33,,5,32,,5,34,,5,35,,5,29,,5,32,,5,31
5.5,32,,5.5,32,,5.5,35,,5.5,30,,5.5,26,,5.5,30,,5.5,34,,5.5,27,,5.5,32,,5.5,27
6,29,,6,27,,6,33,,6,27,,6,31,,6,32,,6,23,,6,26,,6,30,,6,25
6.5,26,,6.5,25,,6.5,28,,6.5,26,,6.5,27,,6.5,29,,6.5,20,,6.5,25,,6.5,30,,6.5,24
7,28,,7,25,,7,26,,7,27,,7,26,,7,29,,7,20,,7,21,,7,27,,7,24
7.5,28,,7.5,23,,7.5,24,,7.5,23,,7.5,24,,7.5,29,,7.5,18,,7.5,21,,7.5,24,,7.5,23
8,26,,8,23,,8,23,,8,21,,8,25,,8,28,,8,18,,8,19,,8,23,,8,19
9,17,,9,20,,9,19,,9,20,,9,23,,9,26,,9,17,,9,17,,9,22,,9,18
10,15,,10,20,,10,20,,10,22,,10,19,,10,24,,10,16,,10,16,,10,22,,10,19
15,11,,15,14,,15,14,,15,16,,15,16,,15,14,,15,13,,15,11,,15,18,,15,17
20,11,,20,9,,20,11,,20,14,,20,14,,20,12,,20,11,,20,10,,20,15,,20,14
25,10,,25,8,,25,12,,25,13,,25,11,,25,10,,25,9,,25,9,,25,13,,25,15
30,10,,30,9,,30,11,,30,12,,30,11,,30,11,,30,7,,30,9,,30,13,,30,11